speaker	task	time_stamp	gram_cat	context_cat	context_start_lg	context_specific	like_duration_ms	closure_presence	closure_duration	burst_presence	burst_duration
BESF_18	C	73.752563	D	ML	E	E	132.5412573	1	108.9164294	1	13.94494053
BESF_18	C	76.10892164	D	ML	E	E	155.6138614	1	127.8572413	1	12.06095068
BESF_18	C	77.55017213	D	ML	E	E	261.0029267	1	103.2910587	1	6.621342425
BESF_18	C	82.36010792	D	ML	E	E	198.6640735	1	118.8523095	1	7.123628502
BESF_18	C	84.62175914	D	ML	S	S	206.8752856	1	206.2200767	1	15.28861462
BESF_18	C	90.38723904	D	ML	S	S	169.1076831	1	133.6375887	1	17.21059311
BESF_18	C	94.03871127	D	ML	S	S	256.6442476	1	481.1214663	1	13.70458228
BESF_18	C	96.48405578	D	ML	S	S	192.496138	1	52.42351567	1	25.88063132
BESF_18	C	102.409133	D	CS	E	CS_ES	182.9269138	1	69.67720477	1	29.39831982
BESF_18	C	104.7699554	D	CS	E	CS_SEE	123.0298218	1	108.38153	1	124.0658833
BESF_18	C	112.5997503	D	ML	E	E	113.1838968	1	85.04047942	1	28.36232876
BESF_18	C	128.0979819	D	ML	E	E	138.8821806	1	308.7190027	1	3.627406731
BESF_18	C	129.4030566	G	ML	E	E	106.5747229	1	90.53717089	0	0
BESF_18	C	130.4654885	D	ML	E	E	187.6048753	1	83.28641895	1	21.93121734
BESF_18	C	135.0768811	D	ML	E	E	163.0791219	1	107.3079747	1	7.890754174
BESF_18	C	137.653303	D	ML	E	E	94.48959236	1	104.3666805	1	19.65848687
BESF_18	C	139.3627851	D	ML	E	E	95.62766035	1	86.41535084	1	14.26031431
BESF_18	C	140.1452714	D	ML	E	E	143.059301	1	180.20687	0	0
BESF_18	C	142.6855772	D	ML	E	E	121.0885704	1	30.01708078	1	24.87985744
BESF_18	C	143.9183766	D	ML	E	E	147.4456014	1	256.5183176	1	65.66286242
BESF_18	C	146.3528425	D	ML	E	E	129.6056908	1	123.7830413	1	24.66009064
BESF_18	C	148.9497667	D	ML	E	E	116.760242	0	0	0	0
BESF_18	C	150.3688232	D	ML	E	E	189.3219811	1	58.22012488	1	13.38030281
BESF_18	C	152.5045957	D	ML	E	E	102.013829	1	112.4245643	1	34.0154001
BESF_18	C	155.7937987	D	ML	E	E	187.4637831	1	170.4459348	0	0
BESF_18	C	160.3483828	D	ML	E	E	101.7032404	1	96.83348353	0	0
BESF_18	C	179.1469787	D	ML	E	E	184.9997305	1	107.0685154	1	13.1328146
BESF_18	C	183.1501421	D	ML	E	E	195.1598658	1	178.1156094	1	31.34385307
BESF_18	C	184.9886129	D	ML	E	E	152.2748536	1	181.1120989	0	0
BESF_18	C	192.0179874	DQ	ML	E	E	219.9216564	1	114.0766446	1	26.40089054
BESF_18	C	218.8500177	D	ML	E	E	110.5926163	1	124.1164077	1	17.02604222
BESF_18	C	225.6326637	D	ML	E	E	141.7594087	1	231.8946631	1	25.81657659
BESF_18	C	308.1856542	D	CS3	CS3	CS3	161.2059772	1	338.7658153	0	0
BESF_18	C	320.5833038	D	ML	E	E	90.76116318	1	101.2339961	0	0
BESF_18	C	336.1181915	D	ML	E	E	219.4439658	1	119.5735318	1	222.8963463
BESF_18	C	340.6685681	D	ML	E	E	125.0440287	1	134.8267323	1	21.65836347
BESF_18	C	362.3968305	D	ML	E	E	114.1267239	1	255.947816	0	0
BESF_18	C	364.4931766	D	ML	E	E	154.8468867	1	120.5834888	1	32.89528767
BESF_18	C	452.4034666	D	CS3	CS3	CS3	100.4479016	1	107.1793274	1	14.16979526
BESF_18	C	454.2039582	D	ML	E	E	146.5331826	1	132.3544451	1	292.2619915
BESF_18	C	455.5165646	D	CS	S	CS_SE	170.8691312	1	61.53540824	1	28.74935675
BESF_18	C	462.3513323	D	CS	S	CS_SE	116.1806946	1	192.815132	1	50.19866647
BESF_18	C	462.8523042	D	CS	E	CS_SEE	75.79158716	1	78.02777659	1	22.14581354
BESF_18	C	463.4684543	D	CS	E	CS_SEE	153.2320365	1	152.6719144	1	10.83485573
BESF_18	C	464.1511219	D	ML	E	E	61.14175768	1	69.69861227	1	12.01160917
BESF_18	C	465.7610084	D	ML	E	E	71.42135162	1	60.73227071	1	28.51881878
BESF_18	C	467.8363044	D	ML	E	E	137.1899928	1	68.89577321	1	19.449686
BESF_18	C	471.8588426	D	ML	E	E	142.9639085	1	152.357605	1	13.5506239
BESF_18	C	472.7060728	D	ML	E	E	89.37394009	0	0	0	0
BESF_18	C	473.1344184	D	ML	E	E	155.7395271	1	106.3130306	0	0
BESF_18	C	478.1492051	D	ML	E	E	125.9651257	1	343.1934277	0	0
BESF_18	C	479.0404822	D	ML	E	E	89.72092632	1	81.76771915	1	7.761305861
BESF_18	C	480.3067506	D	ML	E	E	70.86036218	1	157.3456866	1	6.968797826
BESF_18	C	480.861654	D	ML	E	E	100.9161744	1	45.73080378	1	32.85780255
BESF_18	C	484.270818	D	ML	E	E	86.15952549	1	63.40777472	1	20.80997079
BESF_18	C	485.2942572	D	ML	E	E	99.33795817	1	55.68750263	1	38.08003314
BESF_18	C	486.6697158	D	ML	E	E	152.6719904	1	99.04070138	1	5.39582536
BESF_18	C	488.2398566	D	ML	E	E	142.6633604	1	172.6777682	0	0
BESF_18	C	490.6643829	D	CS	S	CS_SE	160.0299901	1	134.4975512	1	64.96393552
BESF_18	C	492.4696311	D	CS	E	CS_SEE	149.7124167	1	292.2085088	1	22.95535511
BESF_18	C	784.5319762	D	ML	E	E	126.1570786	1	97.16160309	1	51.72730528
BESF_18	C	797.160048	D	ML	E	E	128.3226093	1	86.93763363	1	22.25331643
BESF_18	C	801.2663545	D	ML	E	E	178.2823352	1	131.1698773	1	103.0379173
BESF_18	C	804.2453174	DQ	ML	E	E	147.9498209	1	108.572917	1	31.88747298
BESF_18	C	805.4832292	D	ML	E	E	131.2205677	1	83.97436323	0	0
BESF_18	C	806.9316251	D	ML	E	E	117.3619609	1	74.70619721	0	0
BESF_18	C	812.2855636	D	ML	E	E	158.2719428	0	0	0	0
BESF_18	C	812.6388833	DQ	ML	E	E	136.8538497	1	112.0443164	1	8.926603188
BESF_18	C	813.817707	D	ML	E	E	72.92782723	1	84.78309482	1	10.97103557
BESF_18	C	815.6189116	D	ML	E	E	117.4308373	1	160.9024533	0	0
BESF_18	C	834.4585726	D	N	N	N	152.4804013	1	184.4979662	0	0
